"";"DVS";"W";"dW";"LAI";"WRoots";"WLeaves";"WStems";"WStorageOrgans";"FRoot";"FLeaves";"FStems";"FStorageOrgans"
"78";1,29530882352941;1126,57607763286;29,5917233893829;3,2016473092072;144,013513829236;282,437467568148;363,905691074246;335,719405161226;0;0;0;1
"79";1,30489705882353;1156,16780102224;20,9505463385158;3,10559788993098;144,013513829236;282,437467568148;363,905691074246;365,311128550609;0;0;0;1
"80";1,31625;1177,11834736075;9,47374565801739;3,01242995323305;144,013513829236;282,437467568148;363,905691074246;386,261674889125;0;0;0;1
"81";1,32877941176471;1186,59209301877;13,6536040021352;2,92205705463606;144,013513829236;282,437467568148;363,905691074246;395,735420547143;0;0;0;1
"82";1,34177941176471;1200,24569702091;24,5354963416279;2,83439534299698;144,013513829236;282,437467568148;363,905691074246;409,389024549278;0;0;0;1
"83";1,36036764705882;1224,78119336254;21,7276768092975;2,74936348270707;144,013513829236;282,437467568148;363,905691074246;433,924520890906;0;0;0;1
"84";1,37572058823529;1246,50887017183;12,0518100628222;2,66688257822586;144,013513829236;282,437467568148;363,905691074246;455,652197700203;0;0;0;1
"85";1,38825;1258,56068023465;15,5131370021956;2,58687610087908;144,013513829236;282,437467568148;363,905691074246;467,704007763025;0;0;0;1
"86";1,39954411764706;1274,07381723685;17,3167665026993;2,50926981785271;144,013513829236;282,437467568148;363,905691074246;483,217144765221;0;0;0;1
"87";1,41195588235294;1291,39058373955;16,9940243054604;2,43399172331713;144,013513829236;282,437467568148;363,905691074246;500,53391126792;0;0;0;1
"88";1,42501470588235;1308,38460804501;29,6099678462751;2,36097197161761;144,013513829236;282,437467568148;363,905691074246;517,527935573381;0;0;0;1
"89";1,43907352941176;1337,99457589129;29,8951894135699;2,29014281246909;144,013513829236;282,437467568148;363,905691074246;547,137903419656;0;0;0;1
"90";1,45307352941176;1367,88976530486;18,4014084185714;2,22143852809501;144,013513829236;282,437467568148;363,905691074246;577,033092833226;0;0;0;1
